title,slug,city,province,country,latitude,longitude,population,tourism_note,nearby_cities
North Holland,north-holland,Amsterdam,North Holland,Netherlands,52.3676,4.9041,2890000,"Home to Amsterdam and some of the most popular nightlife and tourist destinations in the Netherlands. A hotspot for international visitors and celebrations.",Haarlem,Alkmaar,Zaandam,Hilversum
South Holland,south-holland,Rotterdam,South Holland,Netherlands,51.9244,4.4777,3740000,"The most densely populated province in the Netherlands, featuring major cities like Rotterdam and The Hague with strong nightlife and event demand.",The Hague,Leiden,Delft,Zoetermeer
Utrecht,utrecht-province,Utrecht,Utrecht,Netherlands,52.0907,5.1214,1350000,"Central province of the Netherlands known for its historic city center, vibrant nightlife and excellent accessibility from all directions.",Amersfoort,Zeist,Veenendaal,Houten
North Brabant,north-brabant,Eindhoven,North Brabant,Netherlands,51.4416,5.4697,2560000,"Southern province famous for its party culture, festivals and lively cities like Eindhoven and Breda.",Breda,Tilburg,Den Bosch,Helmond
Gelderland,gelderland,Arnhem,Gelderland,Netherlands,51.9851,5.8987,2090000,"The largest province in the Netherlands featuring vibrant cities and scenic countryside perfect for private events and group celebrations.",Nijmegen,Apeldoorn,Ede,Wageningen
Limburg,limburg,Maastricht,Limburg,Netherlands,50.8514,5.6900,1120000,"A unique southern province with strong nightlife culture and international visitors thanks to Maastricht.",Venlo,Roermond,Sittard,Heerlen
Overijssel,overijssel,Zwolle,Overijssel,Netherlands,52.5168,6.0830,1180000,"Eastern province known for lively student cities and charming historic town centers.",Enschede,Deventer,Hengelo,Kampen
Flevoland,flevoland,Almere,Flevoland,Netherlands,52.3508,5.2647,430000,"The youngest province in the Netherlands, close to Amsterdam and popular for private events and celebrations.",Lelystad,Dronten,Emmeloord,Urk
Friesland,friesland,Leeuwarden,Friesland,Netherlands,53.2012,5.7999,650000,"Northern province known for its unique culture, lakes and historic cities attracting domestic tourism.",Sneek,Drachten,Heerenveen,Harlingen
Groningen,groningen-province,Groningen,Groningen,Netherlands,53.2194,6.5665,590000,"A lively student province centered around the energetic city of Groningen with a vibrant nightlife scene.",Veendam,Stadskanaal,Hoogezand,Delfzijl
Drenthe,drenthe,Assen,Drenthe,Netherlands,52.9928,6.5642,500000,"A quieter northern province known for nature, historic villages and relaxed celebrations.",Emmen,Hoogeveen,Meppel,Coevorden
Zeeland,zeeland,Middelburg,Zeeland,Netherlands,51.4988,3.6109,385000,"Coastal province famous for seaside tourism, beach towns and summer celebrations.",Vlissingen,Goes,Terneuzen,Zierikzee